organisation,organisationLabel,location,locationLabel
http://www.wikidata.org/entity/Q193196,University College London,http://www.wikidata.org/entity/Q150120,Bloomsbury
http://www.wikidata.org/entity/Q10677733,National Veterinary Institute,http://www.wikidata.org/entity/Q25286,Uppsala
http://www.wikidata.org/entity/Q487556,University of Sydney,http://www.wikidata.org/entity/Q3130,Sydney
http://www.wikidata.org/entity/Q17518896,Public Health Agency of Sweden,http://www.wikidata.org/entity/Q10673294,Solna
http://www.wikidata.org/entity/Q193196,University College London,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q1246991,Stockholm Public Library,http://www.wikidata.org/entity/Q94385,Stockholm urban area
http://www.wikidata.org/entity/Q1246991,Stockholm Public Library,http://www.wikidata.org/entity/Q3646335,Vasastaden
http://www.wikidata.org/entity/Q148554,National Museum of Natural History,http://www.wikidata.org/entity/Q465811,National Mall
http://www.wikidata.org/entity/Q10717657,Värmland County museum,http://www.wikidata.org/entity/Q25457,Karlstad
http://www.wikidata.org/entity/Q1388689,Örebro University Hospital,http://www.wikidata.org/entity/Q25732,Örebro
http://www.wikidata.org/entity/Q18288613,Queen Silvia Children's Hospital,http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q5587845,Gothenburg University Library,http://www.wikidata.org/entity/Q25287,Gothenburg
http://www.wikidata.org/entity/Q168426,University of Münster,http://www.wikidata.org/entity/Q2742,Münster
http://www.wikidata.org/entity/Q168426,University of Münster,http://www.wikidata.org/entity/Q1198,North Rhine-Westphalia
http://www.wikidata.org/entity/Q201492,McGill University,http://www.wikidata.org/entity/Q340,Montreal
http://www.wikidata.org/entity/Q201492,McGill University,http://www.wikidata.org/entity/Q176,Quebec
http://www.wikidata.org/entity/Q10551871,Skaraborgs sjukhus Skövde,http://www.wikidata.org/entity/Q21166,Skövde
http://www.wikidata.org/entity/Q978464,Natural History Museum of Denmark,http://www.wikidata.org/entity/Q367402,Indre By
http://www.wikidata.org/entity/Q1439312,Danderyd Hospital,http://www.wikidata.org/entity/Q10593587,Mörby
http://www.wikidata.org/entity/Q1333399,University of Leicester,http://www.wikidata.org/entity/Q83065,Leicester
http://www.wikidata.org/entity/Q10544771,Swedish Chemicals Agency,http://www.wikidata.org/entity/Q10683761,Sundbybergs stad
http://www.wikidata.org/entity/Q49121,Harvard Medical School,http://www.wikidata.org/entity/Q100,Boston
http://www.wikidata.org/entity/Q5676556,Harvard T.H. Chan School of Public Health,http://www.wikidata.org/entity/Q986020,Longwood Medical and Academic Area
http://www.wikidata.org/entity/Q1558586,Hanken School of Economics,http://www.wikidata.org/entity/Q2741998,Etu-Töölö
http://www.wikidata.org/entity/Q10571977,Ryhov County Hospital,http://www.wikidata.org/entity/Q25415,Jönköping
http://www.wikidata.org/entity/Q174158,Hebrew University of Jerusalem,http://www.wikidata.org/entity/Q207350,Rehovot
http://www.wikidata.org/entity/Q1547084,University of Twente,http://www.wikidata.org/entity/Q2303437,Stadsdeel Noord
http://www.wikidata.org/entity/Q741082,Macquarie University,http://www.wikidata.org/entity/Q8273407,Macquarie Park
http://www.wikidata.org/entity/Q10274592,School of Communications and Arts of the University of São Paulo,http://www.wikidata.org/entity/Q174,São Paulo
http://www.wikidata.org/entity/Q174158,Hebrew University of Jerusalem,http://www.wikidata.org/entity/Q1218,Jerusalem
http://www.wikidata.org/entity/Q1126189,London School of Hygiene & Tropical Medicine,http://www.wikidata.org/entity/Q84,London
http://www.wikidata.org/entity/Q645663,University of Pisa,http://www.wikidata.org/entity/Q13375,Pisa
http://www.wikidata.org/entity/Q27621,Saint Petersburg State University,http://www.wikidata.org/entity/Q656,Saint Petersburg
http://www.wikidata.org/entity/Q76473,University of Southampton,http://www.wikidata.org/entity/Q79848,Southampton
http://www.wikidata.org/entity/Q4356777,Swedish Institute of Space Physics,http://www.wikidata.org/entity/Q83232,Kiruna
http://www.wikidata.org/entity/Q3370919,Swedish Agency for Economic and Regional Growth,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q823917,University of Sheffield,http://www.wikidata.org/entity/Q42448,Sheffield
http://www.wikidata.org/entity/Q1138080,Coventry University,http://www.wikidata.org/entity/Q6225,Coventry
http://www.wikidata.org/entity/Q160302,University of Edinburgh,http://www.wikidata.org/entity/Q23436,Edinburgh
http://www.wikidata.org/entity/Q3232072,Södermanland County Council,http://www.wikidata.org/entity/Q54356,Nyköping
http://www.wikidata.org/entity/Q5423685,F.C. Donders Centre for Cognitive Neuroimaging,http://www.wikidata.org/entity/Q13729283,"Huygensgebouw, Nijmegen"
http://www.wikidata.org/entity/Q1558323,Swedish School of Sport and Health Sciences,http://www.wikidata.org/entity/Q4348917,Norra Djurgården
http://www.wikidata.org/entity/Q1968711,Nobel Prize Museum,http://www.wikidata.org/entity/Q579854,Gamla stan
http://www.wikidata.org/entity/Q1558323,Swedish School of Sport and Health Sciences,http://www.wikidata.org/entity/Q1754,Stockholm
http://www.wikidata.org/entity/Q12975239,University of Ruhuna,http://www.wikidata.org/entity/Q13360574,Matara
http://www.wikidata.org/entity/Q1432914,Rörstrand,http://www.wikidata.org/entity/Q3646335,Vasastaden
